Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
41533215,6/2/2015 3:23:46,Female,Nicaragua,Costa Rica,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week,Fundraising; Communications and Media; Event Logistics; Research about OpenCon's Issue Areas; Other: Photography
16142677,6/2/2015 3:24:10,Male,India,India,Other: M.Phil. Candidate at Department of East Asian Studies,Social Sciences - Law,Open Data,Yes,Open Access Week; Open Data Day,Coding; Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Research about OpenCon's Issue Areas
17090311,6/2/2015 3:25:11,Male,Nigeria,Nigeria,Undergraduate student,Engineering/Technology - Environmental engineering,Open Education,No,,Blogging
65741102,6/2/2015 3:35:50,Male,Romania,Romania,Researcher (non-faculty),Humanities - Other humanities,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Video Editing; Blogging
19101009,6/2/2015 3:37:58,Male,India,India,Faculty/teacher,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Research about OpenCon's Issue Areas
23558742,6/2/2015 3:38:50,Male,Nigeria,Benin,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,,Website Management / Design; Video Editing; Community / Grassroots Organizing; Fundraising; Communications and Media
33515523,6/2/2015 3:41:18,Male,Pakistan,Pakistan,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,No,Open Education Week,Website Management / Design; Research about OpenCon's Issue Areas; Other: Engineering
27986537,6/2/2015 3:45:22,Male,Pakistan,Ukraine,Undergraduate student,Natural Sciences - Physical sciences,Open Education,No,Open Education Week,Volunteer Management
21873309,6/2/2015 3:49:04,Male,Romania,Romania,Librarian,Humanities - Languages and literature,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Blogging; Volunteer Management
23385818,6/2/2015 3:51:48,Female,Romania,Romania,PhD candidate,Engineering/Technology - Other engineering and technologies,Open Education,Yes,Open Education Week,Coding; Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management
16664005,6/2/2015 3:52:58,Male,"Congo, Democratic Republic of the",South Africa,Other: digital educational content producer,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Coding; Graphic Design; Video Editing; Social Media Campaigns; Communications and Media
89495438,6/2/2015 3:52:58,Male,Cameroon,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Access,No,Open Access Week,Community / Grassroots Organizing; Event Logistics
18117129,6/2/2015 4:00:09,Male,Pakistan,Pakistan,Faculty/teacher,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,No,,Coding; Website Management / Design; Research about OpenCon's Issue Areas
41277072,6/2/2015 4:21:45,Female,Germany,Sweden,Other: Project Assistant / Administrator,Medicine/Health Sciences - Health sciences,Open Access,Yes,,Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
31825334,6/2/2015 4:24:49,Male,Afghanistan,Afghanistan,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Advocacy and Policy; Volunteer Management
16724273,6/2/2015 4:26:08,Male,Sudan,Sudan,Librarian,None of these describes my field of study or expertise,Open Education,Yes,Open Access Week; Open Education Week,Research about OpenCon's Issue Areas
40745282,6/2/2015 4:29:23,Male,Zimbabwe,Zimbabwe,Librarian,Social Sciences - Educational sciences,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
15007772,6/2/2015 4:34:48,Female,Spain,Spain,Librarian,Engineering/Technology - Other engineering and technologies,Open Access,Yes,Open Access Week; Open Data Day,Research about OpenCon's Issue Areas
11279127,6/2/2015 4:40:28,Male,Denmark,Denmark,PhD candidate,Medicine/Health Sciences - Other medical sciences,Open Access,Yes,,Coding; Website Management / Design; Communications and Media; Advocacy and Policy; Event Logistics
17654420,6/2/2015 4:46:37,Male,Nigeria,Nigeria,Publisher,Engineering/Technology - Materials engineering,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
38919808,6/2/2015 4:56:44,Male,India,India,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
36240443,6/2/2015 4:59:43,Male,Netherlands,France,Researcher (non-faculty),Social Sciences - Psychology,Open Data,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Fundraising; Blogging
41986063,6/2/2015 5:02:10,Male,Tanzania,Tanzania,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: Public speaking
44581472,6/2/2015 5:06:40,Female,Pakistan,Pakistan,Masters/professional student,Social Sciences - Economics and business,Open Education,No,,Community / Grassroots Organizing; Event Logistics; Volunteer Management
11741734,6/2/2015 5:08:59,Male,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Access Week; Open Education Week,Coding; Website Management / Design; Graphic Design; Video Editing; Social Media Campaigns
21271187,6/2/2015 5:11:51,Male,Uganda,Uganda,Faculty/teacher,Social Sciences - Educational sciences,Open Education,Yes,Open Education Week,Website Management / Design; Community / Grassroots Organizing; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
60310987,6/2/2015 5:12:44,Male,Laos,Hungary,Masters/professional student,Social Sciences - Political Science,Open Education,No,Open Education Week,Video Editing; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
31274278,6/2/2015 5:14:22,Female,India,India,Librarian,Social Sciences - Other social sciences,Open Access,Yes,Open Education Week,Advocacy and Policy
13870236,6/2/2015 5:14:29,Female,Pakistan,Pakistan,Other: Responsible Finance Associate,Social Sciences - Other social sciences,Open Data,Yes,,Community / Grassroots Organizing; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
25213288,6/2/2015 5:15:03,Male,Romania,Romania,Other: Undergraduate student (2nd year) and Software Engineer,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,,Coding; Website Management / Design; Community / Grassroots Organizing; Blogging; Volunteer Management
27388866,6/2/2015 5:18:45,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,No,,Social Media Campaigns; Event Logistics; Volunteer Management
31733386,6/2/2015 5:23:52,Male,India,India,Faculty/teacher,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
49052589,6/2/2015 5:38:12,Male,Malaysia,Malaysia,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
12624747,6/2/2015 5:46:36,Male,India,India,Faculty/teacher,Humanities - Languages and literature,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
23074899,6/2/2015 5:47:41,Male,Argentina,Chile,Faculty/teacher,Social Sciences - Psychology,Open Data,No,,Volunteer Management
25862483,6/2/2015 5:52:04,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
24366464,6/2/2015 5:53:52,Male,France,France,Researcher (non-faculty),Social Sciences - Media and communications,Open Access,Yes,Open Access Week,Video Editing; Community / Grassroots Organizing; Research about OpenCon's Issue Areas
39361790,6/2/2015 5:58:00,Male,Kenya,Kenya,Masters/professional student,Social Sciences - Political Science,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Advocacy and Policy; Volunteer Management
69220877,6/2/2015 5:59:53,Male,Nepal,Nepal,Undergraduate student,None of these describes my field of study or expertise,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
14305248,6/2/2015 6:00:53,Female,Cameroon,Cameroon,Faculty/teacher,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week,Social Media Campaigns; Fundraising; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
32332504,6/2/2015 6:03:24,Female,India,India,Professional advocate,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy
25997066,6/2/2015 6:09:38,Female,Zimbabwe,Zimbabwe,Other: Librarian and also a masters student,Social Sciences - Educational sciences,Open Access,Yes,Open Access Week,Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
70355020,6/2/2015 6:11:03,Female,Germany,Germany,Undergraduate student,Social Sciences - Media and communications,Open Access,No,Open Access Week,Website Management / Design; Video Editing; Communications and Media; Blogging; Research about OpenCon's Issue Areas
34591058,6/2/2015 6:15:47,Male,Pakistan,Pakistan,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,No,Open Access Week; Open Education Week; Open Data Day,Coding; Social Media Campaigns; Volunteer Management
16835858,6/2/2015 6:19:16,Male,Tanzania,Tanzania,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
74245072,6/2/2015 6:23:06,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Data,No,Open Access Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Event Logistics; Volunteer Management
28298058,6/2/2015 6:30:17,Female,United Kingdom,United Kingdom,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Education Week,Fundraising; Blogging; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
18504091,6/2/2015 6:32:56,Female,Poland,Germany,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Data,Yes,,Website Management / Design; Graphic Design; Video Editing; Social Media Campaigns; Communications and Media
22312617,6/2/2015 6:37:27,Female,Spain,Spain,PhD candidate,Social Sciences - Educational sciences,Open Education,Yes,Open Education Week,Website Management / Design; Video Editing; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
40279443,6/2/2015 6:44:30,Male,Nepal,Nepal,PhD candidate,Social Sciences - Political Science,Open Data,Yes,,Coding; Volunteer Management; Research about OpenCon's Issue Areas
